,Re,Twist Ratio,Perforation (%),Number of Tapes,Nu,Skin Friction
0,0.6941218716691214,0.9496602625323991,-0.002870767219249627,4,0.38832642243121523,0.07109868348628504
1,0.7914071403159613,0.05711702623868536,0.7508850786351797,2,0.6892018987877918,0.2622052220137303
2,0.049556668783221444,0.41311854301779827,0.50746759303523,2,0.07873738957389335,0.45195570780470845
3,0.7592078904231844,0.3307697718430971,0.2467197397823788,1,0.35668842807165535,0.0993666412627447
4,0.433497778582917,0.43653166128866194,0.25380443562980604,5,0.2528299479581701,0.17842707950052727
5,0.5420007358372855,0.22731521558651924,-0.0008140750431727983,2,0.17607766333333114,0.11762907504188018
6,0.6380308264498924,0.3233284360821925,0.2535121168749515,2,0.2361639209695094,0.19565423959162487
7,0.5042529357832481,0.0319909994251615,0.9915574702085833,5,0.6711855262619564,0.4161083122905923
8,0.865102799717326,0.11254829079931192,0.24680602540816915,4,0.349207078203818,0.19270123664941358
9,0.7967284726281887,0.22320136747312397,0.7517204650831262,2,0.5553762141709848,0.32341967165410856
10,0.6371467355367476,0.12207721837072046,0.996232800403317,2,0.45668636703946625,0.6967843342866249
11,0.8791161710527005,0.571531559367129,0.99440782167184,1,0.7154079302103131,0.33216650053685054
12,0.13600356504427755,0.0940617496986301,0.5003160056685939,1,0.04927871758272298,0.34781036357244266
13,0.6419523570050008,0.047300794538876804,0.9914374063774881,3,0.6464235820904022,0.37010804379339146
14,0.21375596948429723,0.08844498058566835,1.0004620115377547,2,0.48873554294331567,0.3546566113684663
15,0.15038534551116817,0.09033957306646476,0.7495551051584823,3,0.07083256719827136,0.3479232413654654
16,0.2522739299750032,0.8811594969112317,0.2487470959511074,3,0.21445242007749543,0.23613759852871144
17,0.9277575610305869,0.7802497160020023,-0.0019466276539542656,3,0.27616784009427214,0.07796445876168952
18,0.6231506710048931,0.08416090420697361,0.9960478580024059,3,0.6642718145483327,0.4428959381222975
19,0.7810290034672113,0.545375158062396,1.0001508847560552,3,0.6131289001834398,0.37579461577802187
20,0.0959381358839306,0.4439790264109113,0.5038621307963783,1,0.16282991169118977,0.5784042602654712
21,0.7992244102494056,0.3459069440298416,1.003128051045977,1,0.7724080482994519,0.26812707085168197
22,0.4892256746310606,0.8897057356417264,-0.000594934656616112,2,0.31760011119875886,0.1606483953576705
23,0.4999879993051459,0.0585495971631512,-0.0020166111995744184,5,0.3204516110132052,0.16931870537034246
24,0.3091512208428195,0.8931393741850403,0.25507755956909506,2,0.3690260909978613,0.1911157579974595
25,0.2348208501613058,0.02246034044371066,0.5038991793792111,2,0.1502978315397817,0.3875100347536248
26,0.6733447958380718,0.9205733232936357,0.24949441643369202,1,0.3527797181254379,0.24444775239474792
27,0.3588063627194793,0.03923205793701984,0.5022353355585392,5,0.21578092670088925,0.4820308743514493
28,0.07315394203134876,0.4451404775291356,0.5045954786114509,4,0.07398294142249072,0.6426196971734754
29,0.2646528760597636,0.9525911514462473,0.0016529563192673319,4,0.16210478578863827,0.17866394144525977
30,0.8440160985518843,0.02891804634304848,0.994131899080777,4,0.703300958972349,0.41386607034244793
31,0.7896763271415765,-0.030358886487814485,0.4989491594802152,5,0.3619137720868645,0.3791009161815997
32,0.08285206388165678,0.5320642178914018,0.5033238019092521,5,0.16145977747443668,0.3321337728552655
33,0.9024380578782489,0.04306279180964481,1.003142912385243,2,0.7718528150314354,0.29614105875612245
