,Re,Twist Ratio,Perforation (%),Number of Tapes,Nu,Skin Friction
0,0.27272727222222226,0.44445,0.75,4,0.23503125556806898,0.44755244755244755
1,0.9696969722222222,0.0,0.75,2,0.6873699375159118,0.3006993006993008
2,0.3838383833333333,0.6666625,0.75,4,0.3589489581984459,0.40559440559440557
3,0.5454545444444444,0.55555,0.75,1,0.38939241231316224,0.2867132867132867
4,0.5656565666666666,0.0,0.75,4,0.47135303526745165,0.3216783216783217
5,0.29292929444444443,1.0,0.5,4,0.25871103788636696,0.3566433566433566
6,0.23232323333333332,0.222225,0.0,5,0.08464479143175825,0.21678321678321671
7,0.5151515166666667,0.6666625,0.25,5,0.2501368455965809,0.2237762237762238
8,0.13131313333333333,0.55555,0.5,2,0.1429780374228331,0.3916083916083916
9,0.3838383833333333,0.222225,0.75,3,0.4149036772668613,0.44755244755244755
10,0.8585858611111111,0.6666625,1.0,4,0.8083955407438113,0.3986013986013987
11,0.14141413888888887,0.0,0.0,4,0.060090008733098846,0.2657342657342658
12,0.26262626111111115,0.6666625,0.25,3,0.12954164247849603,0.2517482517482517
13,0.7676767666666666,0.7777750000000001,0.75,3,0.572800335935231,0.3006993006993008
14,0.1010101,0.0,0.75,4,0.19321820609369472,0.6153846153846154
15,0.5353535333333334,0.44445,0.5,2,0.3064891691655005,0.2237762237762238
16,0.84848485,0.55555,0.5,1,0.5275660620215686,0.18181818181818182
17,0.84848485,0.33333749999999995,0.25,1,0.41880770717104737,0.04895104895104896
18,0.25252525000000003,1.0,0.75,3,0.3218408953133722,0.48251748251748255
19,0.27272727222222226,0.55555,0.75,2,0.26968201444832546,0.41258741258741255
20,0.31313131111111114,0.0,0.0,3,0.18769704836135215,0.20279720279720287
21,0.3434343444444445,0.44445,0.5,5,0.2542751781528499,0.4335664335664336
22,0.26262626111111115,0.55555,1.0,5,0.33300594073867207,0.6083916083916086
23,0.08080808333333335,1.0,0.0,3,0.04917042322902865,0.30769230769230765
24,0.48484848333333336,0.222225,0.5,1,0.35868557902676834,0.17482517482517473
25,0.7676767666666666,0.44445,1.0,3,0.7680038597389266,0.38461538461538464
26,0.3838383833333333,0.44445,1.0,3,0.3360599895933108,0.45454545454545453
27,0.4949494944444444,0.1111125,0.0,5,0.22538495114299462,0.1888111888111888
28,0.6565656555555556,0.7777750000000001,1.0,3,0.6372247746823305,0.45454545454545453
29,0.010101011111111113,0.6666625,1.0,4,0.09716257121634182,0.9230769230769231
30,0.5757575777777777,0.33333749999999995,0.5,3,0.37456676831051555,0.3286713286713287
31,0.8888888888888888,0.6666625,0.5,4,0.5225175667821725,0.27972027972027974
32,0.7979798,0.33333749999999995,0.5,5,0.5289826971041477,0.24475524475524474
33,0.4949494944444444,0.8888875,0.25,2,0.3017561203538004,0.24475524475524474
34,0.41414141666666676,0.1111125,0.0,3,0.1417764333456289,0.1888111888111888
35,0.9292929277777779,0.33333749999999995,0.5,1,0.5266667185085233,0.21678321678321671
36,0.07070707222222224,0.222225,0.25,1,0.04570997929819423,0.4405594405594406
37,0.11111111111111112,0.1111125,0.75,1,0.10895343801105788,0.6713286713286715
38,0.9797979777777779,0.7777750000000001,0.0,3,0.3324720823149508,0.07692307692307693
39,0.7070707055555555,0.8888875,0.75,2,0.594933315030904,0.27272727272727265
40,0.1919191944444445,0.8888875,1.0,3,0.23085066062866821,0.5524475524475525
41,0.3030303055555556,0.44445,0.5,4,0.19896386160523355,0.3986013986013987
42,0.6868686888888889,1.0,0.5,4,0.4710686939537406,0.2237762237762238
43,0.5454545444444444,0.222225,1.0,1,0.5997326312593547,0.34265734265734266
44,0.31313131111111114,0.7777750000000001,1.0,2,0.3429078480569278,0.38461538461538464
45,0.20202019999999998,0.44445,0.0,1,0.11021826661342733,0.2237762237762238
46,0.9595959611111111,0.7777750000000001,1.0,4,0.9357909303573402,0.27972027972027974
47,0.84848485,0.7777750000000001,0.25,3,0.40939469110086074,0.17482517482517473
48,0.020202022222222213,1.0,0.25,4,0.03438974640203428,0.5174825174825175
49,0.7373737388888889,0.6666625,0.0,5,0.3642659040954954,0.14685314685314682
50,0.15151515000000004,0.33333749999999995,1.0,4,0.23432665711649509,0.6713286713286715
51,0.9090909111111112,0.8888875,0.5,5,0.71312395759832,0.20979020979020974
